Time,Mass 1,Mass 2,Mass 3,Mass 4,Mass 5
60,52.93,53.2,52.39,53.08,51.44
61,52.93,53.19,52.39,53.06,51.45
62,52.92,53.19,52.38,53.06,51.44
63,52.92,53.19,52.38,53.05,51.43
64,52.92,53.19,52.38,53.05,51.43
65,52.91,53.19,52.38,53.06,51.43
66,52.91,53.18,52.37,53.05,51.42
67,52.91,53.18,52.36,53.04,51.42
68,52.9,53.18,52.37,53.03,51.41
69,52.9,53.18,52.36,53.03,51.41
70,52.89,53.18,52.36,53.02,51.41
71,52.89,53.17,52.36,53.02,51.4
72,52.89,53.16,52.35,53.01,51.39
73,52.89,53.16,52.35,53.01,51.39
74,52.88,53.16,52.35,53,51.39
75,52.88,53.16,52.35,53,51.39
76,52.87,53.15,52.34,53.01,51.37
77,52.86,53.15,52.34,53,51.39
78,52.85,53.15,52.34,52.99,51.38
79,52.84,53.15,52.33,52.99,51.37
80,52.84,53.15,52.33,52.99,51.36
81,52.84,53.14,52.32,52.98,51.36
82,52.82,53.14,52.32,52.98,51.35
83,52.82,53.13,52.32,52.97,51.34
84,52.82,53.13,52.31,52.98,51.34
85,52.82,53.12,52.31,52.98,51.35
86,52.82,53.12,52.31,52.97,51.35
87,52.82,53.12,52.31,52.97,51.34
88,52.82,53.12,52.3,52.95,51.34
89,52.81,53.11,52.3,52.95,51.33
90,52.81,53.1,52.3,52.95,51.33
91,52.81,53.1,52.29,52.93,51.33
92,52.8,53.1,52.29,52.92,51.32
93,52.79,53.1,52.29,52.92,51.31
94,52.79,53.1,52.29,52.92,51.31
95,52.78,53.09,52.27,52.93,51.31
96,52.78,53.08,52.26,52.92,51.31
97,52.78,53.08,52.25,52.93,51.3
98,52.77,53.08,52.25,52.92,51.3
99,52.77,53.06,52.27,52.92,51.29
100,52.76,53.07,52.26,52.92,51.28
101,52.76,53.06,52.26,52.91,51.27
102,52.76,53.05,52.26,52.91,51.28
103,52.76,53.05,52.25,52.91,51.27
104,52.75,53.05,52.24,52.9,51.28
105,52.76,53.06,52.25,52.89,51.27
106,52.76,53.06,52.25,52.89,51.26
107,52.76,53.05,52.24,52.9,51.26
108,52.75,53.04,52.24,52.89,51.26
109,52.75,53.04,52.23,52.89,51.26
110,52.74,53.04,52.23,52.89,51.25
111,52.74,53.04,52.23,52.89,51.25
112,52.73,53.04,52.22,52.89,51.24
113,52.73,53.03,52.22,52.88,51.24
114,52.73,53.03,52.22,52.88,51.24
115,52.73,53.03,52.21,52.88,51.25
116,52.72,53.03,52.21,52.88,51.24
117,52.72,53.02,52.2,52.88,51.23
118,52.72,53.02,52.19,52.87,51.24
119,52.72,53.02,52.19,52.87,51.24
120,52.72,53.01,52.18,52.86,51.24
121,52.71,53,52.18,52.86,51.23
122,52.7,53,52.17,52.86,51.22
123,52.7,53,52.16,52.86,51.22
124,52.69,52.99,52.17,52.85,51.22
125,52.69,52.99,52.17,52.85,51.22
126,52.69,52.99,52.18,52.85,51.22
127,52.69,53,52.17,52.84,51.12
128,52.69,53,52.17,52.84,51.13
129,52.69,52.99,52.15,52.84,51.17
130,52.69,52.98,52.14,52.84,51.18
131,52.68,52.98,52.14,52.84,51.19
132,52.68,52.96,52.15,52.84,51.19
133,52.68,52.96,52.14,52.82,51.18
134,52.68,52.97,52.14,52.82,51.17
135,52.67,52.97,52.12,52.82,51.18
136,52.67,52.97,52.13,52.82,51.18
137,52.67,52.97,52.14,52.82,51.18
138,52.66,52.96,52.14,52.82,51.16
139,52.66,52.95,52.12,52.82,51.15
140,52.65,52.95,52.11,52.82,51.15
141,52.66,52.95,52.11,52.81,51.13
142,52.65,52.95,52.11,52.8,51.14
143,52.59,52.95,52.12,52.8,51.14
144,52.57,52.94,52.1,52.81,51.13
145,52.59,52.94,52.1,52.8,51.13
146,52.61,52.92,52.1,52.8,51.15
147,52.61,52.93,52.09,52.79,51.15
148,52.61,52.93,52.1,52.79,51.13
149,52.61,52.93,52.09,52.77,51.12
150,52.61,52.93,52.09,52.77,51.13
151,52.61,52.93,52.08,52.78,51.13
152,52.59,52.92,52.08,52.79,51.13
153,52.59,52.92,52.07,52.78,51.14
154,52.58,52.91,52.08,52.77,51.13
155,52.58,52.91,52.07,52.77,51.13
156,52.59,52.91,52.07,52.77,51.12
157,52.58,52.91,52.06,52.77,51.13
158,52.57,52.92,52.08,52.77,51.13
159,52.57,52.91,52.09,52.76,51.12
160,52.57,52.9,52.07,52.76,51.12
161,52.56,52.9,52.04,52.76,51.12
162,52.56,52.9,52.02,52.76,51.12
163,52.54,52.9,52.04,52.76,51.12
164,52.54,52.9,52.04,52.76,51.12
165,52.55,52.89,52.04,52.75,51.12
166,52.56,52.89,52.04,52.75,51.11
167,52.56,52.89,52.05,52.75,51.11
168,52.56,52.89,52.03,52.75,51.11
169,52.54,52.89,52.03,52.74,51.1
170,52.55,52.88,52.04,52.75,51.1
171,52.55,52.87,52.04,52.75,51.1
172,52.55,52.87,52.05,52.75,51.1
173,52.55,52.88,52.04,52.75,51.1
174,52.54,52.88,52.03,52.74,51.08
175,52.54,52.87,52.01,52.73,51.07
176,52.53,52.88,52.02,52.73,51.07
177,52.53,52.87,52.02,52.72,51.06
178,52.53,52.87,52.02,52.72,51.06
179,52.52,52.87,52.02,52.73,51.07
180,52.53,52.87,52.02,52.72,51.08
181,52.53,52.87,52.01,52.71,51.08
182,52.53,52.87,52.01,52.72,51.08
183,52.52,52.86,52.01,52.72,51.08
184,52.52,52.86,52.01,52.71,51.08
185,52.52,52.86,52.01,52.71,51.08
186,52.51,52.85,52.01,52.71,51.07
187,52.5,52.84,52.01,52.71,51.06
188,52.5,52.84,52,52.71,51.06
189,52.49,52.84,52,52.7,51.04
190,52.49,52.84,51.98,52.7,51.04
191,52.48,52.84,51.98,52.7,51.04
192,52.48,52.84,51.99,52.71,51.05
193,52.48,52.84,51.99,52.71,51.04
194,52.49,52.83,51.98,52.7,51.04
195,52.48,52.82,51.98,52.7,51.04
196,52.47,52.81,51.98,52.7,51.05
197,52.47,52.82,51.96,52.69,51.04
198,52.47,52.82,51.97,52.69,51.04
199,52.46,52.83,51.96,52.69,51.03
200,52.45,52.82,51.97,52.69,51.04
201,52.46,52.82,51.96,52.69,51.04
202,52.46,52.81,51.96,52.68,51.04
203,52.46,52.8,51.97,52.68,51.04
204,52.47,52.8,51.96,52.68,51.04
205,52.46,52.8,51.96,52.68,51.03
206,52.46,52.81,51.95,52.68,51.03
207,52.46,52.81,51.95,52.67,51.03
208,52.45,52.81,51.94,52.67,51.03
209,52.45,52.79,51.95,52.67,51.02
210,52.45,52.79,51.95,52.67,51.02
211,52.46,52.79,51.96,52.67,51.01
212,52.46,52.79,51.96,52.67,51
213,52.45,52.79,51.96,52.67,50.99
214,52.45,52.79,51.95,52.66,50.99
215,52.43,52.79,51.95,52.66,51.01
216,52.44,52.79,51.95,52.65,51.01
217,52.44,52.79,51.95,52.65,51.01
218,52.44,52.79,51.95,52.65,51.01
219,52.43,52.79,51.95,52.64,51.01
220,52.44,52.79,51.95,52.64,51.02
221,52.44,52.78,51.94,52.64,51.01
222,52.43,52.78,51.94,52.64,51.01
223,52.44,52.78,51.93,52.64,51.01
224,52.44,52.78,51.93,52.64,50.99
225,52.43,52.79,51.93,52.64,50.99
226,52.42,52.79,51.91,52.64,50.99
227,52.42,52.79,51.92,52.63,50.98
228,52.42,52.79,51.91,52.62,50.98
229,52.41,52.77,51.93,52.62,50.98
230,52.41,52.77,51.94,52.61,50.98
231,52.41,52.77,51.93,52.61,50.97
232,52.41,52.77,51.92,52.59,50.98
233,52.4,52.76,51.91,52.61,50.98
234,52.4,52.76,51.92,52.6,50.98
235,52.41,52.76,51.91,52.61,50.98
236,52.42,52.76,51.89,52.61,50.98
237,52.41,52.76,51.89,52.62,50.98
238,52.41,52.76,51.88,52.62,50.98
239,52.41,52.75,51.88,52.61,50.97
240,52.41,52.75,51.9,52.61,50.97
241,52.4,52.74,51.89,52.61,50.97
242,52.39,52.74,51.89,52.6,50.97
243,52.38,52.74,51.89,52.6,50.96
244,52.38,52.74,51.89,52.6,50.96
245,52.38,52.74,51.89,52.6,50.96
246,52.38,52.74,51.89,52.6,50.96
247,52.37,52.74,51.89,52.6,50.97
248,52.37,52.74,51.89,52.6,50.97
249,52.39,52.74,51.89,52.6,50.97
250,52.39,52.74,51.89,52.6,50.96
251,52.38,52.74,51.89,52.6,50.96
252,52.37,52.74,51.88,52.59,50.95
253,52.36,52.74,51.87,52.59,50.95
254,52.36,52.74,51.87,52.59,50.96
255,52.37,52.74,51.87,52.58,50.96
256,52.37,52.74,51.86,52.58,50.96
257,52.37,52.74,51.86,52.58,50.96
258,52.36,52.73,51.86,52.58,50.95
259,52.36,52.73,51.86,52.58,50.95
260,52.36,52.73,51.86,52.58,50.95
261,52.36,52.73,51.85,52.59,50.95
262,52.35,52.72,51.86,52.59,50.95
263,52.36,52.72,51.85,52.57,50.95
264,52.36,52.72,51.86,52.55,50.93
265,52.35,52.72,51.85,52.57,50.94
266,52.34,52.71,51.86,52.57,50.95
267,52.34,52.71,51.86,52.54,50.94
268,52.34,52.71,51.85,52.56,50.93
269,52.33,52.7,51.85,52.57,50.93
270,52.34,52.7,51.84,52.57,50.92
271,52.34,52.7,51.83,52.57,50.92
272,52.34,52.7,51.84,52.56,50.92
273,52.33,52.7,51.85,52.56,50.93
274,52.33,52.7,51.85,52.56,50.94
275,52.33,52.7,51.85,52.55,50.94
276,52.33,52.7,51.85,52.56,50.94
277,52.33,52.7,51.85,52.56,50.93
278,52.33,52.7,51.85,52.56,50.91
279,52.33,52.7,51.85,52.55,50.9
280,52.33,52.7,51.85,52.55,50.9
281,52.33,52.69,51.85,52.56,50.91
282,52.33,52.7,51.83,52.56,50.92
283,52.33,52.7,51.82,52.56,50.92
284,52.33,52.69,51.82,52.56,50.92
285,52.33,52.69,51.83,52.55,50.92
286,52.33,52.68,51.83,52.55,50.92
287,52.32,52.68,51.83,52.54,50.93
288,52.32,52.67,51.83,52.54,50.92
289,52.32,52.67,51.82,52.54,50.92
290,52.31,52.67,51.83,52.53,50.91
291,52.31,52.67,51.83,52.54,50.91
292,52.33,52.67,51.82,52.53,50.91
293,52.32,52.68,51.82,52.52,50.9
294,52.32,52.68,51.82,52.52,50.9
295,52.31,52.68,51.81,52.53,50.9
296,52.29,52.68,51.82,52.52,50.9
297,52.28,52.67,51.82,52.52,50.91
298,52.3,52.67,51.82,52.52,50.91
299,52.3,52.67,51.81,52.51,50.91
300,52.3,52.67,51.81,52.52,50.91
301,52.3,52.67,51.81,52.52,50.91
302,52.3,52.67,51.81,52.52,50.91
303,52.3,52.67,51.81,52.53,50.9
304,52.29,52.68,51.81,52.53,50.9
305,52.29,52.67,51.81,52.52,50.9
306,52.3,52.67,51.81,52.52,50.9
307,52.3,52.66,51.8,52.52,50.9
308,52.3,52.66,51.8,52.52,50.9
309,52.28,52.66,51.8,52.51,50.89
310,52.28,52.65,51.79,52.51,50.89
311,52.28,52.64,51.8,52.52,50.89
312,52.28,52.65,51.79,52.51,50.89
313,52.28,52.66,51.79,52.5,50.89
314,52.28,52.66,51.79,52.5,50.88
315,52.27,52.65,51.78,52.51,50.89
316,52.29,52.64,51.79,52.51,50.89
317,52.28,52.64,51.79,52.51,50.89
318,52.28,52.64,51.79,52.5,50.89
319,52.27,52.65,51.79,52.49,50.89
320,52.27,52.65,51.78,52.5,50.89
321,52.26,52.65,51.79,52.5,50.88
322,52.25,52.63,51.79,52.49,50.87
323,52.25,52.63,51.79,52.48,50.87
324,52.23,52.64,51.79,52.5,50.87
325,52.25,52.63,51.79,52.5,50.87
326,52.27,52.64,51.78,52.5,50.88
327,52.26,52.64,51.77,52.5,50.88
328,52.26,52.63,51.77,52.49,50.87
329,52.25,52.62,51.77,52.49,50.87
330,52.26,52.6,51.76,52.49,50.87
331,52.25,52.6,51.76,52.49,50.88
332,52.25,52.61,51.76,52.49,50.87
333,52.25,52.61,51.76,52.49,50.86
334,52.24,52.62,51.76,52.48,50.86
335,52.24,52.62,51.76,52.48,50.87
336,52.24,52.61,51.77,52.48,50.87
337,52.23,52.6,51.76,52.48,50.88
338,52.25,52.61,51.76,52.49,50.87
339,52.25,52.62,51.75,52.49,50.87
340,52.24,52.62,51.75,52.49,50.87
341,52.24,52.61,51.75,52.48,50.87
342,52.24,52.61,51.74,52.47,50.86
343,52.24,52.61,51.74,52.48,50.85
344,52.24,52.61,51.74,52.48,50.78
345,52.25,52.6,51.75,52.47,50.74
346,52.25,52.6,51.75,52.48,50.78
347,52.24,52.61,51.74,52.48,50.85
348,52.24,52.6,51.73,52.48,50.84
349,52.24,52.6,51.73,52.47,50.84
350,52.24,52.6,51.73,52.47,50.84
351,52.23,52.6,51.73,52.47,50.84
352,52.23,52.59,51.74,52.48,50.85
353,52.22,52.59,51.74,52.47,50.85
354,52.22,52.59,51.73,52.47,50.84
355,52.22,52.58,51.73,52.46,50.84
356,52.22,52.59,51.73,52.46,50.84
357,52.23,52.58,51.73,52.46,50.84
358,52.22,52.58,51.74,52.47,50.84
359,52.22,52.57,51.73,52.47,50.84
360,52.22,52.57,51.73,52.46,50.84
361,52.21,52.57,51.71,52.46,50.83
362,52.2,52.57,51.7,52.46,50.83
363,52.2,52.58,51.7,52.46,50.82
364,52.2,52.58,51.71,52.46,50.82
365,52.21,52.58,51.71,52.46,50.82
366,52.21,52.58,51.71,52.46,50.82
367,52.22,52.57,51.7,52.45,50.82
368,52.22,52.54,51.71,52.45,50.81
369,52.22,52.54,51.71,52.45,50.82
370,52.22,52.56,51.71,52.45,50.82
371,52.22,52.57,51.71,52.45,50.82
372,52.21,52.56,51.72,52.45,50.82
373,52.21,52.56,51.71,52.45,50.82
374,52.2,52.56,51.7,52.45,50.81
375,52.2,52.56,51.7,52.45,50.81
376,52.2,52.56,51.7,52.45,50.82
377,52.2,52.55,51.7,52.44,50.82
378,52.19,52.56,51.7,52.44,50.82
379,52.19,52.55,51.7,52.44,50.82
380,52.19,52.55,51.7,52.43,50.82
381,52.19,52.55,51.7,52.43,50.82
382,52.19,52.56,51.69,52.44,50.82
383,52.19,52.54,51.7,52.44,50.82
384,52.19,52.53,51.7,52.43,50.82
385,52.19,52.53,51.7,52.43,50.82
386,52.19,52.54,51.69,52.43,50.82
387,52.19,52.54,51.68,52.43,50.81
388,52.18,52.55,51.68,52.43,50.81
389,52.18,52.54,51.68,52.43,50.81
390,52.19,52.54,51.69,52.43,50.81
391,52.19,52.55,51.69,52.43,50.81
392,52.18,52.55,51.68,52.43,50.81
393,52.18,52.55,51.67,52.44,50.8
394,52.18,52.55,51.68,52.44,50.8
395,52.17,52.54,51.69,52.44,50.8
396,52.17,52.53,51.68,52.44,50.81
397,52.17,52.53,51.67,52.42,50.81
398,52.18,52.53,51.67,52.42,50.8
399,52.17,52.53,51.68,52.42,50.8
400,52.17,52.53,51.68,52.42,50.8
401,52.17,52.53,51.67,52.42,50.8
402,52.17,52.53,51.67,52.43,50.8
403,52.17,52.53,51.67,52.43,50.79
404,52.17,52.52,51.68,52.43,50.78
405,52.17,52.53,51.68,52.42,50.8
406,52.16,52.53,51.67,52.42,50.79
407,52.16,52.53,51.67,52.42,50.8
408,52.16,52.52,51.67,52.42,50.79
409,52.16,52.51,51.67,52.43,50.79
410,52.16,52.51,51.67,52.43,50.79
411,52.16,52.52,51.66,52.43,50.79
412,52.16,52.51,51.66,52.42,50.79
413,52.16,52.5,51.66,52.42,50.78
414,52.17,52.52,51.66,52.42,50.78
415,52.16,52.52,51.66,52.42,50.78
416,52.15,52.51,51.66,52.41,50.78
417,52.15,52.5,51.66,52.41,50.78
418,52.15,52.5,51.66,52.41,50.77
419,52.15,52.5,51.65,52.41,50.76
420,52.14,52.49,51.65,52.41,50.76
421,52.15,52.47,51.65,52.41,50.76
422,52.15,52.48,51.64,52.37,50.76
423,52.14,52.49,51.65,52.38,50.76
424,52.14,52.48,51.65,52.38,50.78
425,52.14,52.49,51.65,52.38,50.78
426,52.14,52.48,51.65,52.37,50.77
427,52.15,52.47,51.65,52.37,50.77
428,52.14,52.48,51.65,52.38,50.76
429,52.14,52.48,51.64,52.38,50.76
430,52.13,52.47,51.65,52.39,50.76
431,52.15,52.47,51.66,52.39,50.76
432,52.15,52.49,51.64,52.39,50.75
433,52.15,52.48,51.62,52.39,50.74
434,52.14,52.48,51.63,52.39,50.73
435,52.14,52.48,51.63,52.39,50.74
436,52.14,52.47,51.63,52.38,50.74
437,52.13,52.47,51.64,52.39,50.75
438,52.13,52.48,51.64,52.39,50.75
439,52.13,52.48,51.63,52.39,50.75
440,52.13,52.48,51.62,52.39,50.75
441,52.12,52.48,51.61,52.39,50.75
442,52.12,52.47,51.61,52.39,50.76
443,52.12,52.47,51.62,52.39,50.76
444,52.12,52.46,51.62,52.38,50.75
445,52.12,52.46,51.62,52.37,50.75
446,52.12,52.47,51.63,52.37,50.75
447,52.11,52.47,51.63,52.37,50.74
448,52.11,52.48,51.62,52.37,50.74
449,52.12,52.47,51.63,52.37,50.74
450,52.12,52.47,51.63,52.36,50.74
451,52.11,52.48,51.62,52.37,50.74
452,52.11,52.47,51.62,52.37,50.74
453,52.11,52.47,51.62,52.37,50.74
454,52.1,52.47,51.62,52.37,50.74
455,52.09,52.47,51.62,52.37,50.74
456,52.09,52.46,51.61,52.38,50.75
457,52.1,52.45,51.6,52.38,50.75
458,52.09,52.46,51.61,52.37,50.75
459,52.09,52.46,51.61,52.37,50.75
460,52.09,52.48,51.62,52.36,50.74
461,52.08,52.46,51.61,52.36,50.73
462,52.08,52.46,51.62,52.35,50.73
463,52.09,52.47,51.62,52.35,50.73
464,52.09,52.48,51.61,52.35,50.74
465,52.09,52.47,51.61,52.35,50.74
466,52.09,52.46,51.61,52.35,50.73
467,52.09,52.45,51.6,52.35,50.73
468,52.09,52.46,51.61,52.36,50.73
469,52.09,52.45,51.6,52.36,50.72
470,52.09,52.45,51.6,52.35,50.72
471,52.09,52.45,51.61,52.35,50.72
472,52.09,52.45,51.6,52.35,50.72
473,52.09,52.45,51.61,52.35,50.73
474,52.08,52.46,51.61,52.34,50.72
475,52.08,52.45,51.61,52.34,50.72
476,52.08,52.46,51.6,52.33,50.72
477,52.08,52.45,51.6,52.33,50.72
478,52.08,52.45,51.6,52.33,50.72
479,52.08,52.46,51.59,52.33,50.72
480,52.08,52.45,51.59,52.33,50.72
481,52.08,52.44,51.59,52.33,50.72
482,52.08,52.45,51.6,52.34,50.72
483,52.08,52.45,51.6,52.34,50.72
484,52.08,52.44,51.6,52.33,50.72
485,52.07,52.44,51.6,52.32,50.72
486,52.07,52.42,51.59,52.33,50.72
487,52.07,52.4,51.59,52.33,50.72
488,52.07,52.42,51.6,52.33,50.72
489,52.08,52.45,51.6,52.33,50.72
490,52.08,52.47,51.59,52.32,50.72
491,52.08,52.47,51.59,52.32,50.71
492,52.07,52.46,51.59,52.32,50.7
493,52.06,52.44,51.59,52.32,50.69
494,52.06,52.45,51.58,52.32,50.7
495,52.06,52.44,51.57,52.32,50.7
496,52.06,52.42,51.57,52.31,50.71
497,52.06,52.42,51.57,52.32,50.7
498,52.06,52.44,51.58,52.32,50.7
499,52.06,52.46,51.58,52.32,50.7
500,52.06,52.42,51.59,52.32,50.7
501,52.06,52.42,51.57,52.32,50.7
502,52.06,52.42,51.58,52.33,50.7
503,52.05,52.41,51.59,52.33,50.7
504,52.05,52.43,51.58,52.33,50.7
505,52.03,52.45,51.58,52.32,50.7
506,52.03,52.45,51.58,52.32,50.69
507,52.03,52.43,51.57,52.31,50.69
508,52.03,52.42,51.57,52.3,50.69
509,52.03,52.44,51.57,52.31,50.69
510,52.03,52.41,51.58,52.32,50.69
511,52.03,52.41,51.57,52.31,50.69
512,52.02,52.41,51.57,52.32,50.69
513,52.02,52.43,51.57,52.31,50.69
514,52.03,52.42,51.57,52.29,50.69
515,52.03,52.41,51.57,52.3,50.7
516,52.03,52.4,51.58,52.31,50.7
517,52.02,52.4,51.58,52.3,50.69
518,52.01,52.41,51.58,52.29,50.69
519,52.02,52.41,51.57,52.27,50.69
520,52.03,52.41,51.57,52.28,50.69
521,52.03,52.43,51.57,52.28,50.69
522,52.03,52.42,51.57,52.28,50.69
523,52.02,52.4,51.57,52.3,50.69
524,52.01,52.41,51.57,52.31,50.68
525,52,52.4,51.56,52.3,50.68
526,52,52.41,51.55,52.3,50.68
527,52,52.42,51.55,52.31,50.68
528,52.01,52.41,51.57,52.31,50.68
529,52.01,52.41,51.57,52.3,50.68
530,52.01,52.41,51.58,52.3,50.68
531,52,52.41,51.57,52.3,50.68
532,52,52.41,51.56,52.29,50.68
533,52,52.42,51.56,52.29,50.68
534,52.01,52.41,51.56,52.29,50.68
535,52.01,52.41,51.55,52.29,50.67
536,52.01,52.4,51.55,52.29,50.67
537,52,52.39,51.55,52.3,50.67
538,52,52.4,51.55,52.3,50.67
539,52,52.39,51.55,52.3,50.67
540,52,52.4,51.55,52.3,50.67
541,52.01,52.4,51.55,52.3,50.68
542,52.01,52.4,51.55,52.28,50.68
543,52.01,52.39,51.55,52.28,50.68
544,52.01,52.38,51.54,52.29,50.68
545,52.01,52.4,51.53,52.29,50.67
546,52,52.38,51.53,52.29,50.67
547,52,52.42,51.53,52.28,50.67
548,52,52.4,51.53,52.27,50.67
549,52,52.38,51.53,52.27,50.67
550,52,52.41,51.54,52.27,50.67
551,52,52.39,51.54,52.28,50.67
552,51.99,52.39,51.53,52.28,50.67
553,51.99,52.41,51.53,52.29,50.66
554,51.99,52.4,51.53,52.27,50.66
555,52,52.39,51.52,52.28,50.66
556,51.99,52.4,51.52,52.28,50.66
557,51.99,52.41,51.52,52.29,50.66
558,51.99,52.41,51.52,52.28,50.66
559,52,52.41,51.52,52.28,50.66
560,52,52.4,51.52,52.3,50.66
561,52,52.4,51.53,52.3,50.66
562,52,52.4,51.53,52.3,50.65
563,51.99,52.4,51.53,52.29,50.65
564,51.99,52.4,51.52,52.3,50.65
565,52,52.39,51.52,52.28,50.65
566,51.99,52.38,51.52,52.27,50.65
567,51.99,52.39,51.52,52.27,50.65
568,51.99,52.39,51.5,52.27,50.65
569,51.99,52.39,51.51,52.27,50.66
570,51.99,52.39,51.51,52.28,50.66
571,51.98,52.39,51.51,52.28,50.65
572,51.98,52.39,51.51,52.28,50.65
573,51.98,52.39,51.52,52.27,50.65
574,51.98,52.39,51.52,52.27,50.65
575,51.98,52.39,51.52,52.25,50.65
576,51.97,52.39,51.51,52.25,50.65
577,51.96,52.39,51.5,52.27,50.65
578,51.97,52.36,51.51,52.27,50.65
579,51.97,52.38,51.51,52.27,50.65
580,51.96,52.38,51.51,52.27,50.65
581,51.97,52.37,51.51,52.27,50.64
582,51.97,52.38,51.51,52.27,50.64
583,51.97,52.37,51.51,52.26,50.65
584,51.97,52.36,51.51,52.26,50.65
585,51.97,52.37,51.5,52.26,50.65
586,51.97,52.37,51.5,52.26,50.65
587,51.97,52.36,51.51,52.26,50.65
588,51.97,52.36,51.5,52.26,50.65
589,51.97,52.36,51.5,52.26,50.64
590,51.97,52.36,51.51,52.26,50.65
591,51.97,52.36,51.51,52.26,50.65
592,51.96,52.36,51.51,52.26,50.65
593,51.96,52.35,51.51,52.27,50.64
594,51.96,52.36,51.51,52.27,50.64
595,51.96,52.37,51.51,52.27,50.64
596,51.96,52.38,51.5,52.26,50.64
597,51.96,52.36,51.5,52.26,50.64
598,51.96,52.36,51.5,52.26,50.64
599,51.95,52.36,51.5,52.27,50.64
600,51.95,52.36,51.5,52.26,50.64
