Time,Mass 1,Mass 2,Mass 3,Mass 4,Mass 5
5,53.2,53.49,52.69,53.34,51.7
6,53.19,53.49,52.69,53.34,51.71
7,53.18,53.48,52.69,53.31,51.71
8,53.17,53.48,52.68,53.33,51.7
9,53.17,53.48,52.66,53.33,51.69
10,53.17,53.47,52.66,53.33,51.69
11,53.16,53.46,52.66,53.32,51.68
12,53.15,53.45,52.65,53.32,51.67
13,53.15,53.45,52.64,53.31,51.66
14,53.14,53.44,52.63,53.31,51.65
15,53.13,53.43,52.62,53.29,51.66
16,53.13,53.43,52.63,53.28,51.66
17,53.12,53.42,52.62,53.27,51.65
18,53.12,53.42,52.61,53.26,51.64
19,53.12,53.41,52.6,53.26,51.63
20,53.11,53.4,52.59,53.25,51.61
21,53.1,53.4,52.58,53.25,51.61
22,53.1,53.4,52.58,53.24,51.6
23,53.09,53.39,52.58,53.23,51.61
24,53.09,53.38,52.58,53.23,51.61
25,53.09,53.38,52.57,53.25,51.6
26,53.08,53.38,52.57,53.24,51.59
27,53.08,53.37,52.56,53.23,51.58
28,53.07,53.37,52.55,53.23,51.58
29,53.07,53.37,52.54,53.22,51.57
30,53.06,53.36,52.54,53.21,51.56
31,53.06,53.35,52.54,53.21,51.55
32,53.05,53.35,52.53,53.2,51.55
33,53.05,53.34,52.52,53.19,51.56
34,53.04,53.33,52.52,53.19,51.56
35,53.04,53.31,52.51,53.19,51.54
36,53.03,53.32,52.51,53.18,51.54
37,53.03,53.32,52.5,53.18,51.53
38,53.02,53.32,52.5,53.18,51.53
39,53.02,53.32,52.49,53.17,51.52
40,53.01,53.3,52.49,53.16,51.52
41,53.01,53.3,52.48,53.16,51.51
42,53.01,53.29,52.48,53.15,51.5
43,53,53.28,52.48,53.16,51.51
44,53,53.28,52.48,53.15,51.51
45,53,53.28,52.47,53.15,51.5
46,52.99,53.28,52.46,53.14,51.5
47,52.99,53.27,52.45,53.13,51.5
48,52.98,53.26,52.45,53.12,51.5
49,52.98,53.26,52.44,53.12,51.49
50,52.97,53.26,52.44,53.1,51.49
51,52.97,53.25,52.44,53.1,51.48
52,52.97,53.24,52.43,53.1,51.48
53,52.96,53.23,52.42,53.09,51.47
54,52.95,53.23,52.42,53.1,51.47
55,52.95,53.23,52.42,53.1,51.47
56,52.95,53.22,52.42,53.09,51.47
57,52.95,53.22,52.41,53.09,51.46
58,52.94,53.21,52.4,53.09,51.45
59,52.94,53.21,52.39,53.09,51.45
