Time (s),Mass 1 (g),Mass 2 (g),Mass 3 (g),Mass 4 (g),Mass 5 (g),Trial Number,Rate (all) (g/s),Rate (initial) (g/s),Average (all) (g/s),No Outliers Rate (all) (g/s) ,Average (initial) (g/s),No Outliers Rate (initial) (g/s)
591,52.06,51.4,51.58,51.94,51.72,,,,,,,
592,52.06,51.37,51.58,51.93,51.72,,,,,,,
593,52.05,51.39,51.57,51.95,51.73,,,,,,,
594,52.06,51.4,51.57,51.94,51.73,,,,,,,
595,52.06,51.4,51.58,51.94,51.72,,,,,,,
596,52.06,51.4,51.57,51.94,51.72,,,,,,,
597,52.06,51.4,51.58,51.93,51.72,,,,,,,
598,52.06,51.4,51.58,51.96,51.72,,,,,,,
599,52.06,51.4,51.58,51.94,51.72,,,,,,,
600,52.05,51.4,51.57,51.94,51.71,,,,,,,
